,z,height H1,height H2
498,498,2.6430458284,2.679486689
499,499,2.6480121851000002,2.6898780049
500,500,2.6539304308,2.7010941429999997
501,501,2.6610900399,2.7128823752
502,502,2.6696249757999997,2.7250962140999997
503,503,2.6794825796,2.7377251660999997
504,504,2.6903688668,2.7509525818
505,505,2.7016997666,2.7652117276999997
506,506,2.7127093625000005,2.7810862544000003
507,507,2.7228845765999994,2.9458014039
508,508,2.7323993151000003,2.9546002835000005
509,509,2.7419485953,2.9631050537000005
510,510,2.7522574598,2.9705495319000006
511,511,2.7637893951000003,2.9764165010999997
512,512,2.7766600469000005,2.9805228616
513,513,2.7905938681,2.9830661871
514,514,2.8048490066999996,2.9847050381000004
515,515,2.8181936865,2.9865887862999996
516,516,2.8292318381,2.9900389086000003
517,517,2.8372599258999998,2.9956982748000005
518,518,2.8428571804999994,3.0029449028000004
519,519,2.8473642413999993,3.0104141932000004
520,520,2.8520320988999996,3.0168469335
521,521,2.8576255595999998,3.0214796865
522,522,2.8643538168000005,3.0241077049000005
523,523,2.8718469803,3.0251040793
524,524,2.8790925235000002,3.0254823482
525,525,2.8844837576,3.0268516117999997
526,526,2.8863808623999994,3.0308632553
527,527,2.8842605647,3.0380698986
528,528,2.8792569301000004,3.0473882545
529,529,2.8733007509000004,3.0569545338
530,530,2.8680727483,3.0651595111
531,531,2.8645937245999997,3.0710480929
532,532,2.8631860653,3.0743526255999996
533,533,2.8634694071,3.0754970129000005
534,534,2.8643134408,3.0756472292000003
535,535,2.8639535344000002,3.0766032199999995
536,536,2.8607180692,3.0800819237000003
537,537,2.854303959,3.0864507934
538,538,2.8461561308000003,3.0943510922999993
539,539,2.8383760561000004,3.1017833274999997
540,540,2.8326518672999996,3.1071648495
541,541,2.8299196074,3.1096571507000004
542,542,2.8303766656000002,3.1091453487999994
543,543,2.8335054746999995,3.1062111635000003
544,544,2.8380566561,3.1021494048999996
545,545,2.8422148017,3.0988046344000004
546,546,2.8443616893000003,3.0978121295
547,547,2.8442541554,3.0994234990000002
548,548,2.8432132729,3.1023182298
549,549,2.8430289875999994,3.1046968278
550,550,2.8450349617000006,3.1052028959999998
551,551,2.8498683224000003,3.1031629442
552,552,2.8575165057999996,3.0985415678
553,553,2.8673555834,3.0919066834000004
554,554,2.8781496943,3.0844353056999996
555,555,2.8882123755,3.0777578536999997
556,556,2.9355992252,3.0732927369
557,557,2.9321262690000003,3.0712652527
558,558,2.9271103166999994,3.0706001560000002
559,559,2.9221370785,3.0698571655999998
560,560,2.9184017153,3.0679795920000004
561,561,2.9165218484999995,3.0644755726
562,562,2.9165776958999996,3.0593789325
563,563,2.9181320341,3.0532239046000003
564,564,2.9202203953000003,3.0470545609000004
565,565,2.9214987959,3.0422770639000003
566,566,2.9208577522000003,3.0400440066
567,567,2.9182775511,3.0403974636000006
568,568,2.9148466279000003,3.0422493258000003
569,569,2.9119081493000003,3.0442342085
570,570,2.9104285825000007,3.0453417024
571,571,2.9108525318,3.0450633975
572,572,2.9131292683999996,3.0433682889
573,573,2.9167141142,3.0407032702000003
574,574,2.9205523763,3.0380111243999997
575,575,2.9232574518999996,3.0365542395
576,576,2.9237787929000003,3.0372495982
577,577,2.9222018555999996,3.0398733926
578,578,2.9196082764,3.0432062589000006
579,579,2.9172156535999996,3.0458988384999994
580,580,2.9158428463,3.0470115084000002
581,581,2.9158146317,3.0461136399000006
582,582,2.916989035,3.0432581090999995
583,583,2.9187481246,3.0389907178000004
584,584,2.9199935994,3.0343539278000002
585,585,2.9193935717000006,3.0306388361000005
586,586,2.9161278795000003,3.0286387912000006
587,587,2.9105759457,3.0279609268999996
588,588,2.9039668994999994,3.027375374
589,589,2.8975250203000003,3.0256693211
590,590,2.8920380256,3.0220795227000004
591,591,2.8878059130000002,3.0163450296
592,592,2.8846655157,3.0086828394999996
593,593,2.8819725983,2.9998040539
594,594,2.8786215483,2.9908903692999997
595,595,2.8733826856,2.983252041
596,596,2.8657124336999997,2.9775141646000005
597,597,2.8562707465,2.9730970258999996
598,598,2.8463709745999997,2.9687628201
599,599,2.8371749968,2.9634176809
600,600,2.8293709499,2.9564339348
601,601,2.8231612344000006,2.9476640613000002
602,602,2.8182851093000005,2.9374196927
603,603,2.8140024972999997,2.9264899548
604,604,2.8091583409000003,2.9160784789
605,605,2.8026194522,2.9073677117
606,606,2.7940920761,2.9007027360000004
607,607,2.7844052206,2.8953094924
